what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361052384575
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1361052384631
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361052394144
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361052404909
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1361052409962
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1361052414120
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361052414133
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361052414183
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361052415917
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1361052415952
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1361052415952
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1361052417095
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361052419745
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.203.v20110201,"org.eclipse.jst.server.tomcat.core",1361052424698
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1361052424707
error,log,,,"CoreException calling delegate importConfiguration() ServerWorkingCopy Tomcat v7.0 Server at localhost",1361052429629
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361052441337
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1361052445979
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1361052451644
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1361052473531
